,rd_seg_id,marker_id,rd_seg_dsc,geometry,centroid,lati,long,area_m2,bay_id,status
48,22227,20617S,Domain Road between Millswyn Street and Park Street,"MULTIPOLYGON (((144.980915235334 -37.833972077651, 144.980910330459 -37.83399577826, 144.98083770094 -37.833986325603, 144.980842604702 -37.833962624979, 144.980915235334 -37.833972077651)))",POINT (144.9808764678972 -37.8339792015979),-37.8339792015979,144.98087646789716,10.594292660497633,,Unknown
49,20127,1773S,Flinders Lane between Swanston Street and Elizabeth Street,"MULTIPOLYGON (((144.966275702701 -37.81671092735, 144.966202609729 -37.816732169015, 144.966195107336 -37.816715460494, 144.966267176674 -37.816693932602, 144.966275702701 -37.81671092735)))",POINT (144.966235341326 -37.81671308290375),-37.81671308290375,144.96623534132598,8.356072492503339,,Unknown
50,22710,20603S,Domain Road between Hope Street and Millswyn Street,"MULTIPOLYGON (((144.980058354092 -37.833866721329, 144.980127077494 -37.833875820873, 144.980122721314 -37.833896517329, 144.980053997893 -37.833887417782, 144.980058354092 -37.833866721329)))",POINT (144.9800905376983 -37.83388161932875),-37.83388161932875,144.9800905376983,8.761785440364042,,Unknown
51,22710,20615S,Domain Road between Hope Street and Millswyn Street,"MULTIPOLYGON (((144.980466335314 -37.833942013512, 144.980470691401 -37.833921317041, 144.98053941378 -37.833930416327, 144.980535057711 -37.833951112802, 144.980466335314 -37.833942013512)))",POINT (144.9805028745519 -37.83393621492102),-37.833936214921025,144.98050287455186,8.761657690289475,,Unknown
52,22710,20607S,Domain Road between Hope Street and Millswyn Street,"MULTIPOLYGON (((144.980195799779 -37.833884920358, 144.980264523218 -37.833894019823, 144.980260165964 -37.833914715365, 144.980191443617 -37.833905616818, 144.980195799779 -37.833884920358)))",POINT (144.9802279829429 -37.83389981803205),-37.83389981803205,144.9802279829429,8.761549990754355,,Unknown
53,,C6822,,"MULTIPOLYGON (((144.955653196689 -37.809496362822, 144.955648730979 -37.809522658189, 144.955578822436 -37.80951697823, 144.955583061578 -37.809490249972, 144.955653196689 -37.809496362822)))",POINT (144.9556158646046 -37.80950654547539),-37.80950654547539,144.9556158646046,11.27697638229123,4245,Unoccupied
54,22227,20627S,Domain Road between Millswyn Street and Park Street,"MULTIPOLYGON (((144.981278385346 -37.834019342092, 144.981273481718 -37.834043042738, 144.981200850961 -37.834033590283, 144.981205755747 -37.83400988966, 144.981278385346 -37.834019342092)))",POINT (144.9812396184049 -37.8340264662199),-37.834026466219896,144.98123961840486,10.594306828198828,,Unknown
55,20127,1777S,Flinders Lane between Swanston Street and Elizabeth Street,"MULTIPOLYGON (((144.966062229391 -37.816772966363, 144.965989152321 -37.816794203663, 144.965981798724 -37.81677782843, 144.96605386818 -37.816756300673, 144.966062229391 -37.816772966363)))",POINT (144.9660219576177 -37.81677528368574),-37.81677528368574,144.96602195761767,8.191062717802,1472,Present
56,20127,1775S,Flinders Lane between Swanston Street and Elizabeth Street,"MULTIPOLYGON (((144.966132337134 -37.816752591519, 144.966062229391 -37.816772966363, 144.96605386818 -37.816756300673, 144.966123951522 -37.816735365782, 144.966132337134 -37.816752591519)))",POINT (144.9660932650428 -37.81675425135337),-37.81675425135337,144.96609326504276,8.154003548118093,1471,Unoccupied
57,21527,C6820,Franklin Street between Queen Street and William Street,"MULTIPOLYGON (((144.955648730979 -37.809522658189, 144.955644289428 -37.809548818799, 144.955574448525 -37.809544556659, 144.955578822436 -37.80951697823, 144.955648730979 -37.809522658189)))",POINT (144.9556112717216 -37.80953322192628),-37.80953322192628,144.95561127172158,11.380889322261972,4244,Unoccupied
